broker,duration_s,producers,consumers,target_msg_per_sec,payload_bytes,sent,send_errors,processed,process_errors,throughput_msg_s,latency_ms_mean,latency_ms_p95,notes
rabbitmq,4.0,1,1,1000,128,3995,0,79,0,19.72974597548471,2.412730455696202,3.0069247,latency sample size=79/79
rabbitmq,4.0,1,1,5000,128,19964,0,2626,0,656.2100439129989,1673.7602435658798,3310.9757817500004,latency sample size=2626/2626
rabbitmq,4.0,1,1,10000,128,32118,0,2047,0,511.4774677985312,1858.710343285784,3545.6725997999993,latency sample size=2047/2047
rabbitmq,4.0,1,1,1000,1024,3997,0,40,0,9.990600303741823,1.9332531750000004,3.0268371999999997,latency sample size=40/40
rabbitmq,4.0,1,1,5000,1024,19949,0,2614,0,653.1879734114779,1725.9939829372622,3308.1863414500003,latency sample size=2614/2614
rabbitmq,4.0,1,1,10000,1024,32205,0,1873,0,467.9925797455261,1759.4218399989322,3586.3133004,latency sample size=1873/1873
rabbitmq,4.0,1,1,1000,10240,3996,0,3977,0,993.7842361855367,13.178568732713089,18.4629252,latency sample size=3977/3977
rabbitmq,4.0,1,1,5000,10240,15686,0,2401,0,572.6224690045134,2094.0628844381527,3380.753958,latency sample size=2401/2401
rabbitmq,4.0,1,1,10000,10240,17870,0,2183,0,542.7440573574544,2308.4350765781032,3532.5761458,latency sample size=2183/2183
rabbitmq,4.0,1,1,1000,102400,3960,0,1758,0,435.2516940666887,1032.4260893202518,1910.01697225,latency sample size=1758/1758
rabbitmq,4.0,1,1,5000,102400,4768,0,1282,0,319.2668650174409,1796.342752990641,3012.69302225,latency sample size=1282/1282
rabbitmq,4.0,1,1,10000,102400,5684,0,1016,0,251.04572274226564,1345.726976468503,2940.324708,latency sample size=1016/1016
redis,4.0,1,1,1000,128,4001,0,4001,0,999.8917470361451,0.3797917118220456,0.43425,latency sample size=4001/4001
redis,4.0,1,1,5000,128,19836,0,19708,0,4904.827268505168,30.37408903257567,44.124297799999994,latency sample size=19708/19708
redis,4.0,1,1,10000,128,19613,0,19488,0,4855.6124088740025,28.233783900502953,38.990941649999996,latency sample size=19488/19488
redis,4.0,1,1,1000,1024,4001,0,4001,0,999.9366343578733,0.37282389777555597,0.430125,latency sample size=4001/4001
redis,4.0,1,1,5000,1024,19060,0,19022,0,4728.608550939831,25.884582146146627,37.63347055,latency sample size=19022/19022
redis,4.0,1,1,10000,1024,19496,0,19414,0,4832.069821080234,25.096397060626312,34.866710299999994,latency sample size=19414/19414
redis,4.0,1,1,1000,10240,4001,0,4001,0,999.9879823988607,0.46192992251936926,0.557958,latency sample size=4001/4001
redis,4.0,1,1,5000,10240,9467,0,9465,0,2365.549156977103,2.3518245938721565,3.5138001999999986,latency sample size=9465/9465
redis,4.0,1,1,10000,10240,12144,0,12142,0,3034.5316999003826,1.8727938386591996,2.749998549999998,latency sample size=12142/12142
redis,4.0,1,1,1000,102400,3144,0,3144,0,785.3738606895669,4.467668702926205,7.077008049999999,latency sample size=3144/3144
redis,4.0,1,1,5000,102400,3217,0,3215,0,803.4189913755555,4.030733827371698,6.4435918,latency sample size=3215/3215
redis,4.0,1,1,10000,102400,3257,0,3256,0,813.4545533015552,3.880621166769046,6.336437,latency sample size=3256/3256
