broker,duration_s,producers,consumers,target_msg_per_sec,payload_bytes,sent,send_errors,processed,process_errors,throughput_msg_s,latency_ms_mean,latency_ms_p95,notes
rabbitmq,3.0,1,1,200,128,600,0,600,0,199.66626615554875,1.9465317433333338,3.2736097499999994,latency sample size=600/600
rabbitmq,3.0,1,1,500,128,1495,0,1495,0,497.77168774853675,1.353684604682276,2.0799788,latency sample size=1495/1495
rabbitmq,3.0,1,1,200,1024,599,0,599,0,199.43617940426748,1.6548654774624374,2.8664881000000006,latency sample size=599/599
rabbitmq,3.0,1,1,500,1024,1498,0,1497,0,498.31474115486174,1.8340492191048792,2.028583200000002,latency sample size=1497/1497
redis,3.0,1,1,200,128,601,0,601,0,200.17848419926236,1.0849712995008327,2.113291,latency sample size=601/601
redis,3.0,1,1,500,128,1501,0,1501,0,500.07448227944377,0.7291756555629577,1.248167,latency sample size=1501/1501
redis,3.0,1,1,200,1024,601,0,601,0,200.13754324451585,1.2659784958402671,1.938875,latency sample size=601/601
redis,3.0,1,1,500,1024,1501,0,1501,0,499.89775575548543,0.8186848454363765,1.307792,latency sample size=1501/1501
