broker,duration_s,producers,consumers,target_msg_per_sec,payload_bytes,sent,send_errors,processed,process_errors,throughput_msg_s,latency_ms_mean,latency_ms_p95,notes
rabbitmq,4.0,1,1,1000,128,3995,0,41,0,10.24028932563792,1.3764786829268292,1.57275,latency sample size=41/41
rabbitmq,4.0,1,1,5000,128,19967,0,2597,0,648.9826665171297,1679.244133320371,3315.4114578,latency sample size=2597/2597
rabbitmq,4.0,1,1,10000,128,30713,0,1942,0,485.24927776379553,1890.2676922064886,3561.9196225999995,latency sample size=1942/1942
rabbitmq,4.0,1,1,1000,1024,3996,0,92,0,22.978355107562276,3.1705303260869564,4.41896455,latency sample size=92/92
rabbitmq,4.0,1,1,5000,1024,19963,0,2569,0,641.9243838562888,1743.4776972884374,3320.0261833999994,latency sample size=2569/2569
rabbitmq,4.0,1,1,10000,1024,32077,0,1845,0,461.0207478669425,1758.1775732682947,3583.3630748,latency sample size=1845/1845
rabbitmq,4.0,1,1,1000,10240,3994,0,3945,0,985.6935348468745,30.411458280608397,45.5155498,latency sample size=3945/3945
rabbitmq,4.0,1,1,5000,10240,19970,0,1834,0,458.2416043183889,2106.9050919405654,3492.1317392499996,latency sample size=1834/1834
rabbitmq,4.0,1,1,10000,10240,18204,0,2134,0,533.292354755614,1995.898834049205,3433.88520385,latency sample size=2134/2134
rabbitmq,4.0,1,1,1000,102400,3993,0,1766,0,441.04587887499946,1064.2388881862958,1954.4975522500001,latency sample size=1766/1766
rabbitmq,4.0,1,1,5000,102400,5325,0,1245,0,310.9785675661909,1756.9988518321288,3005.5356496,latency sample size=1245/1245
rabbitmq,4.0,1,1,10000,102400,4512,0,1026,0,255.8367724607061,2100.624729713449,3335.3786874999996,latency sample size=1026/1026
redis,4.0,1,1,1000,128,4001,0,4001,0,999.9581996978502,0.35666953886528496,0.424083,latency sample size=4001/4001
redis,4.0,1,1,5000,128,19745,0,19729,0,4891.974425917157,27.680050197019632,38.4911586,latency sample size=19729/19729
redis,4.0,1,1,10000,128,19834,0,19739,0,4909.500897151655,28.03846047672125,40.7520161,latency sample size=19739/19739
redis,4.0,1,1,1000,1024,4001,0,4001,0,999.9335417826455,0.3748442769307674,0.42975,latency sample size=4001/4001
redis,4.0,1,1,5000,1024,19367,0,19365,0,4808.148452235234,22.70153839612703,32.74788339999999,latency sample size=19365/19365
redis,4.0,1,1,10000,1024,19671,0,19595,0,4872.796571809188,25.268653649604463,37.6322501,latency sample size=19595/19595
redis,4.0,1,1,1000,10240,4001,0,4000,0,999.8070894716546,0.4600030257500008,0.5677163499999999,latency sample size=4000/4000
redis,4.0,1,1,5000,10240,11652,0,11650,0,2911.6397618556416,1.9856516369098685,2.9853248499999996,latency sample size=11650/11650
redis,4.0,1,1,10000,10240,11969,0,11967,0,2990.838106172484,1.9106492908832626,2.709112499999999,latency sample size=11967/11967
redis,4.0,1,1,1000,102400,3194,0,3193,0,797.6951447950511,3.8354919646100933,6.174150199999999,latency sample size=3193/3193
redis,4.0,1,1,5000,102400,2947,0,2946,0,735.8946883523072,4.136911867956553,7.23079175,latency sample size=2946/2946
redis,4.0,1,1,10000,102400,3023,0,3022,0,755.2859629097569,3.858362905360695,6.875277399999999,latency sample size=3022/3022
