broker,duration_s,producers,consumers,target_msg_per_sec,payload_bytes,sent,send_errors,processed,process_errors,throughput_msg_s,latency_ms_mean,latency_ms_p95,notes
rabbitmq,3.0,1,1,1000,128,2997,0,9,0,2.9969266936326533,1.2756203333333334,1.6916001999999999,latency sample size=9/9
rabbitmq,3.0,1,1,2000,128,5984,0,2656,0,884.8026360855646,881.6963643746218,1587.53661475,latency sample size=2656/2656
rabbitmq,3.0,1,1,1000,1024,2997,0,24,0,7.995509631175357,1.1865346666666667,1.4713230999999998,latency sample size=24/24
rabbitmq,3.0,1,1,2000,1024,5976,0,2233,0,743.7750681634208,981.7197164308104,1797.747092,latency sample size=2233/2233
redis,3.0,1,1,1000,128,3001,0,3001,0,1000.0226596270757,0.3801020679773411,0.431375,latency sample size=3001/3001
redis,3.0,1,1,2000,128,6001,0,6000,0,1999.5167834440003,0.25154797950000013,0.287875,latency sample size=6000/6000
redis,3.0,1,1,1000,1024,3001,0,3001,0,999.8766116943966,0.6309539556814382,2.429584,latency sample size=3001/3001
redis,3.0,1,1,2000,1024,6001,0,6000,0,1999.5288336916683,0.31746039533333315,0.5390464500000003,latency sample size=6000/6000
